author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,_merge
Jonathan Wathen,"['Wathen, Jonathan.']","['An answer to the letter of Mr. Keyser, surgeon and chemist of Paris. In which the insufficiency of his medicine, for the cure of the venereal disease, is further considered. Also, some evidences of the anonymous author of the parallel are produced, and confirmed by the testimony of M. Faber, ... By Jonathan Wathen, Surgeon.']",[1765.0],"['London : printed for John Rivington,']",['eng'],[nan],['ESTC'],1765.0,1765.0,1,left_only
Roderick Macleod,"['Macleod, Roderick.']","['Replies for Roderick Macleod of Cadboll, Hugh Rose younger of Aitnoch, William Fraser of Ardochy, and James Crawfurd writer in Edinburgh, all standing upon the roll of freeholders for the county of Cromarty, to the answers for Leonard Urquhart writer to the signet.']",[1766.0],"['[Edinburgh,']",['eng'],[nan],['ESTC'],1766.0,1766.0,1,left_only
Elizabeth Heron,"['Heron, Elizabeth,active 1765-1766.']","['Replies for Elizabeth Heron, spouse to Alexander Goldie writer to the signet, and their children; to the answers for Patrick Heron of Heron, Robert Maxwell of Cargen, and George Goldie merchant in Edinburgh.']",[1766.0],"['[Edinburgh,']",['eng'],[nan],['ESTC'],1766.0,1766.0,1,left_only
Robert Blacklock,"['Blacklock, Robert.']","['Answers for Robert Blacklock in Fairgirth, to the petition of Patrick Heron of Heron, Robert Maxwell of Cargen, and George Goldie merchant in Edinburgh, tutors dative to Alexander Goldie writer to the Signet.']",[1767.0],"['[Edinburgh,']",['eng'],[nan],['ESTC'],1767.0,1767.0,1,left_only
John Russell,"['Russell, John,1710-1796.', 'Russell, John,1919-2008.', 'Russell, John, Author of The Geography of Palestine.']","['The form of process in the Court of Session, and Court of Teinds [electronic resource]. To which is prefixed, a general account of the College of Justice. By John Russell, ...', 'Francis Bacon', 'The geography of Palestine, or the Holy Land, when possessed by the Israelites. For the use of schools ... With a map, etc.']","[1768.0, 1979.0, 1835.0]","['Edinburgh : printed by Sands, Murray, and Cochran. For A. Kincaid and J. Bell,', '[London] Thames and Hudson', 'Edinburgh, ']","['eng', 'eng', 'eng']","[nan, 'Bacon, Francis, 1909-1992.', nan]","['ESTC', 'Bibliography: p.153. - Includes index', nan]",1768.0,1979.0,3,left_only
JohnSir Paterson,"['Paterson, John,Sir,approximately 1730-1782.']","['Answers for Sir John Paterson of Eccles, bart. to the petition of Alexander Orme writer to the signet, assignee of Mrs Alice Paterson, now deceased, relict of Dr Seton late physician in Montrose.']",[1768.0],"['[Edinburgh,']",['eng'],[nan],['ESTC'],1768.0,1768.0,1,left_only
David Campbell,"['Campbell, David.', 'Campbell, David,1935-', 'Campbell, David,writer to the Signet.']","['Thread lines : extracts and notes from Paisley and Glasgow newspapers regarding the Paisley threadmills 1812-1993 /', 'The three Donalds : a tartan fantasy /', 'Information for Colin Campbell of Tiriphure, defender; against David Campbell, writer to the Signet, pursuer.']","[1995.0, 1998.0, 1768.0]","['Paisley : The Project Team,', ""Edinburgh : Scottish Children's Press,"", '[Edinburgh,']","['eng', 'eng', 'eng']","['Textile factories', nan, nan]","['Limited ed. of 25 copies.', nan, 'ESTC']",1768.0,1998.0,3,left_only
Benjamin Donne,"['Donne, Benjamin,1729-1798.']","['An epitome of natural and experimental philosophy, including geography, with the use of the globes, ... Designed for the use of schools. ... By Benjamin Donn, ...']",[1769.0],"['London : sold by B. Law; and G. Kearsley. Also by Messrs. Heath and Wing; and by the author at Bristol,']",['eng'],[nan],['ESTC'],1769.0,1769.0,1,left_only
Theophilus Anglicanus,"['Anglicanus, Theophilus.']","[""Protestant armour: or, the Church of England-man's defence against the open attacks and artful insinuations of Popish delusion. Extracted from the writings of some of the most eminent divines of the Established Church: and disposed by way of question and answer, for the readier information of individuals. By Theophilus Anglicanus.""]",[1769.0],"['London : printed for J. Robson; J. Fletcher and Co.; and E. Hood,']",['eng'],[nan],['ESTC'],1769.0,1769.0,1,left_only
Job Orton,"['Orton, Job,1717-1783.', 'Orton, Job,1717-1783.']","[""Diotrephes admonished: or some remarks on a letter from the author of Pietas Oxoniensis to the Rev. Dr. Adams, of Shrewsbury; occasioned by the publication of his sermon preached at St. Chad's, entitled A test of true and false doctrines. By a parishioner of St. Chad's."", 'Discourses to the aged; on several important subjects. ... By Job Orton.']","[1770.0, 1771.0]","['London : printed for B. White; and T. Cadell,', 'Shrewsbury : printed by J. Eddowes; and sold by J. Buckland and T. Longman, London,']","['eng', 'eng']","[nan, nan]","['ESTC', 'ESTC']",1770.0,1771.0,2,left_only
Gentleman retired from business,['Gentleman retired from business.'],"['A compendious view of the grounds of the Teutonick philosophy With considerations by way of enquiry into the subject matter, and scope of the writings of Jacob Behmen, ... Published by a gentleman retired from business.']",[1770.0],"['London : printed by M. Lewis; and sold by Messrs. Bathurst, Baker, Whiston, White, Richardson and Roberts, C. Dilly, Davis, and Heard, in London; Woodyer and Merril at Cambridge; Kendal, at Colchester; Mills, at Bath; Binns, at Hallifax; Binns, Ogle and Copperthwaite at Leeds; Megget and Stringer, at Wakefield; Brook at Huthersfield [sic]; Mercer, at Maidstone; and Burden, at Winchester,']",['eng'],[nan],['ESTC'],1770.0,1770.0,1,left_only
Samuel Bard,"['Bard, Samuel,1742-1821.']","[""An enquiry into the nature, cause and cure, of the angina suffocativa, or, sore throat distemper, as it is commonly called by the inhabitants of this city and colony. By Samuel Bard, M.D. and professor of medicine in King's College, New-York. [Two lines from Celsus]""]",[1771.0],"['New-York : Printed by S. Inslee, and A. Car, at the new printing-office in Beaver-Street,']",['eng'],[nan],"['Austin, R.B. Early Amer. medical imprints,']",1771.0,1771.0,1,left_only
Thomas Gray,"['Gray, Thomas,1716-1771.Elegy written in a country churchyard.', 'Gray, Thomas,1716-1771.', 'Gray, Thomas,1716-1771.Elegy written in a country churchyard.Selections.', 'Gray, Thomas,1716-1771.', 'Gray, Thomas,1716-1771.', 'Gray, Thomas,1716-1771.', 'Gray, Thomas,1716-1771.', 'Gray, Thomas,1716-1771.', 'Gray, Thomas,1716-1771.', 'Gray, Thomas,of the Rose Polytechnic Institute.', 'Gray, Thomas,1716-1771.']","[""A criticism on the elegy written in a country church-yard  : being a continuation of Dr. Johnson's criticism on the poems of Gray /"", 'The poetical works of Thomas Gray, ... with some account of his life and writings. The whole carefully revised; and illustrated by notes, original and selected. To which are annexed, poems written by, addressed to, or in memory of, Mr. Gray; ..', 'A discourse delivered in Quincy, Massachusetts, on Thanksgiving Day, Nov. 25, 1852 [microform] : commemorative of Daniel Webster /', 'Elegy in a country church-yard /', 'The poetical works of Mr. Gray.', 'Poems by Mr Gray.', 'The grave a poem. By Robert Blair. To which is added An elegy written in a country church-yard. By Mr. Gray.', 'Elegy written in a country church-yard. By Mr. Gray. And translated into Italian verse by J. Giannini, L.L.D.', ""[Elegy written in a country churchyard. Colophon: Thus end's Gray's elegy written in a country churchyard, the frontispiece showing the tomb of the poet at Stoke Pogis is by George Thomson, & the whole is printed among the great poems of the language at the Essex House Press, under the care of C.R. Ashbee, An.Dom. MDCCCC.]"", 'Smithsonian physical tables /', 'An elegy wrote in a country church yard.']","[1810.0, 1799.0, 1852.0, 1931.0, 1781.0, 1771.0, 1785.0, 1782.0, 1901.0, 1896.0, 1847.0]","['Edinburgh,', 'London : printed for J. Scatcherd,', 'Boston : Little, Brown,', 'New York, ', 'London : printed for Joseph Wenman,', 'London : printed for B. Long, and T. Pridden,', 'London : printed by Thomas Martin,', 'London : printed for, and sold by the translator,', '[London,', 'Washington, ', 'London,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'ita', 'eng', 'eng', 'eng']","['Gray, Thomas, 1716-1771.', nan, 'Statesmen', nan, nan, nan, nan, nan, nan, nan, nan]","['Includes the text of the poem.', 'Northup,', 'Microfiche.', nan, 'ESTC', 'ESTC', 'ESTC', 'ESTC', nan, nan, nan]",1771.0,1931.0,11,left_only
Lawrence Jackson,"['Jackson, Lawrence,1691-1772.']","['A short review and defence of the authorities on which the Catholic doctrine of the Trinity in unity is grounded. By Lawrence Jackson, ...']",[1771.0],"['London : printed for M. Hingeston,']",['eng'],[nan],['ESTC'],1771.0,1771.0,1,left_only
Charles Varlo,"['Varlo, Charles,approximately 1725-approximately 1795.', 'Varlo, Charles,approximately 1725-approximately 1795.', 'Varlo, Charles,approximately 1725-approximately 1795.']","['Schemes offered for the perusal and consideration of the legislative, freeholders, and public in general: shewing the many evils that might be prevented, and the good that would accrue to the public, were they improved, and enacted into laws. B', 'A new system of husbandry From experiments never before made public. With tables shewing the expence and profit of each crop. ... By C. Varley, Esq; the second edition. In three volumes. ...', 'York, May 1, 1772. To the public. I beg leave to acquaint friends, ... that I have, for many years, made a mistake in writing my surname, which instead of Varlo, I have wrote Varley. ...']","[1775.0, 1771.0, 1772.0]","['London : printed by J. Chapman,', 'York : printed for the author, by N. Nickson,', '[London,']","['eng', 'eng', 'eng']","[nan, nan, nan]","['ESTC', 'ESTC', 'ESTC']",1771.0,1775.0,3,left_only
John Entick,"['Entick, John,1703?-1773.']","['The new spelling dictionary, teaching to write and pronounce the English tongue with ease and propriety; ... With a list of proper names of men and women. The whole compiled and digested in a manner entirly new, to make it a complete pocket companion ... By the Rev. John Entick, ...']",[1772.0],"['London : printed for Edward and Charles Dilly; and sold by Messrs. Cox and Berry, in Boston [Mass.],']",['eng'],[nan],['ESTC'],1772.0,1772.0,1,left_only
Tim Bobbin,"['Bobbin, Tim.,1708-1786.']","[""Human passions delineated in above 120 figures, droll, satyrical, and humourous: design'd in the Hogarthian style, very useful for young practitioners in drawing. By Timo[thy] Bobbin author of the Lancashire dialect. ... Whole books or any single print may be had of the booksellers, or of the publisher""]",[1773.0],"['[Manchester] : Printed and published by John Heywood, Manchester,']",['eng'],[nan],['ESTC'],1773.0,1773.0,1,left_only
Christopher Anstey,"['Anstey, Christopher,1724-1805.', 'Anstey, Christopher,1724-1805.']","['The priest dissected: a poem, addressed to the Rev. Mr. ---- Author of Regulus, Toby, Cæsar, and other satirical pieces in the public papers.', 'The priest dissected: a poem, addressed to the Rev. Mr. -, author of Regulus, Toby, Cæsar, and other satirical pieces in the public papers.']","[1774.0, 1774.0]","['Bath : printed by S. Hazard; and sold by Dodsley; and Wilkie, London, Fletcher and Hodson, Cambridge; and by Frederick, Tennent, and Hazard at Bath,', 'Bath : printed by S. Hazard; and sold by Dodsley, and Wilkie, London; Fletcher and Hodson, at Cambridge; and Frederick, Tennent, and Hazard, at Bath,']","['eng', 'eng']","[nan, nan]","['ESTC', 'ESTC']",1774.0,1774.0,2,left_only
Samuel Seabury,"['Seabury, Samuel,1729-1796.']","['A view of the controversy between Great-Britain and her colonies: including a mode of determining their present disputes, finally and effectually; and of preventing all future contentions. In a letter to the author of A full vindication of the measures of the Congress, from the columnies of their enemies. By A. W. farmer, author of Free thoughts, &c.']",[1775.0],"['[London] : New-York, printed: London reprinted for Richardson and Urquhart,']",['eng'],[nan],"['Adams,']",1775.0,1775.0,1,left_only
Thomas Paine,"['Paine, Thomas,1737-1809.', 'Paine, Thomas,1737-1809.', 'Paine, Thomas,1737-1809.', 'Paine, Thomas,1737-1809.', 'Paine, Thomas,1737-1809.', 'Paine, Thomas,1737-1809.', 'Paine, Thomas,1737-1809.', 'Paine, Thomas,1737-1809.']","[""Paine's letters: containing a letter to Mr. Secretary Dundas, in answer to his speech on the late proclamation: together with two letters addressed to Lord Onslow, chairman of the meeting at Epsom, June 18, 1792, convened to address His Majesty"", 'The American crisis, Number I[-III]. By the author of Common sense.', ""Paine's four letters. Letters on government: including both his letters to Mr. Dundas; with two letters to Lord Onslow, and two from Paris. By Thomas Paine, ... to which are prefixed anecdotes of his life."", 'Agrarian justice, opposed to agrarian law, and to agrarian monopoly. Being a plan for meliorating the condition of man, by creating in every nation a national fund, ... By Thomas Paine, ...', 'Common sense; addressed to the inhabitants of America, on the following interesting subjects: ... A new edition, with several additions ... To which is added, an appendix; together with an address to the people called Quakers. ... By Thomas Paine, ...', 'Common sense; addressed to the inhabitants of America, on the following interesting subjects. I. Of the origin and design of government in general, with concise remarks on the English Constitution. II. Of monarchy and hereditary succession. III. Thoughts on the present state of American affairs. IV. Of the present ability of America, with some miscellaneous reflections. [Two lines from Thomson]', 'Letter addressed to the addressers, on the late proclamation. By Thomas Paine, ...', 'A letter from M. Condorcet, one of the secretaries to the French National Convention, to a magistrate in Swisserland, not unworthy the persual of the magistrates of other countries. With a letter from Thomas Paine to the people of France.']","[1792.0, 1777.0, 1792.0, 1797.0, 1793.0, 1776.0, 1792.0, 1792.0]","['London : printed for J. Parsons,', '[Philadelphia? : s.n,', 'London : sold by C. Stalker; and by all booksellers,', '[London] : Paris: printed by W. Adlard. London: re-printed for T. Williams,', 'London : printed for H. D. Symonds,', 'Newport [R.I.] : Printed and sold by Solomon Southwick,', 'London : printed for H. D. Symonds, and Thomas Clio Rickman,', 'Edinburgh,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan, nan, nan, nan, nan]","['ESTC', 'Shipton & Mooney,', 'ESTC', 'ESTC', 'Gimbel, R. Thomas Paine,', 'Shipton & Mooney,', 'ESTC', 'ESTC']",1776.0,1797.0,8,left_only
