author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,_merge
Alexander Reiter,"['Reiter, Alexander.author.authttp://id.loc.gov/vocabulary/relators/aut']",['Time-Optimal Trajectory Planning for Redundant Robots [electronic resource] : Joint Space Decomposition for Redundancy Resolution in Non-Linear Optimization /'],[nan],[nan],['eng'],['Theoretical and Applied Mechanics.'],"['This master’s thesis presents a novel approach to finding trajectories with minimal end time for kinematically redundant manipulators. Emphasis is given to a general applicability of the developed method to industrial tasks such as gluing or welding. Minimum-time trajectories may yield economic advantages as a shorter trajectory duration results in a lower task cycle time. Whereas kinematically redundant manipulators possess increased dexterity, compared to conventional non-redundant manipulators, their inverse kinematics is not unique and requires further treatment. In this work a joint space decomposition approach is introduced that takes advantage of the closed form inverse kinematics solution of non-redundant robots. Kinematic redundancy can be fully exploited to achieve minimum-time trajectories for prescribed end-effector paths. Contents NURBS Curves Modeling: Kinematics and Dynamics of Redundant Robots Approaches to Minimum-Time Trajectory Planning Joint Space Decomposition Approach Examples for Applications of Robots Target Groups Lecturers and Students of Robotics and Automation Industrial Developers of Trajectory Planning Algorithms The Author Alexander Reiter is a Senior Scientist at the Institute of Robotics of the Johannes Kepler University Linz in Austria. His major fields of research are kinematics, dynamics, and trajectory planning for kinematically redundant serial robots.']",,,,left_only
Alexander Batthyany,"['Batthyany, Alexander.editor.edthttp://id.loc.gov/vocabulary/relators/edt']",['Clinical Perspectives on Meaning [electronic resource] : Positive and Existential Psychotherapy /'],[nan],[nan],['eng'],['Developmental Psychology.'],"['""Clinical Perspectives on Meaning: Positive and Existential Psychotherapy . . . is an outstanding collection of new contributions that build thoughtfully on the past, while at the same time, take the uniquely human capacity for meaning-making to important new places."" - From the preface by Carol D. Ryff and Chiara Ruini This unique theory-to-practice volume presents far-reaching advances in positive and existential therapy, with emphasis on meaning-making as central to coping and resilience, growth and positive change. Innovative meaning-based strategies are presented with clients facing medical and mental health challenges such as spinal cord injury, depression, and cancer. Diverse populations and settings are considered, including substance abuse, disasters, group therapy, and at-risk youth. Contributors demonstrate the versatility and effectiveness of meaning-making interventions by addressing novel findings in this rapidly growing and promising area. By providing broad international and interdisciplinary perspectives, it enhances empirical findings and offers valuable practical insights. Such a diverse and varied examination of meaning encourages the reader to integrate his or her thoughts from both existential and positive psychology perspectives, as well as from clinical and empirical approaches, and guides the theoretical convergence to a unique point of understanding and appreciation for the value of meaning and its pursuit. Included in the coverage: · The proper aim of therapy: Subjective well-being, objective goodness, or a meaningful life? · Character strengths and mindfulness as core pathways to meaning in life · The significance of meaning to conceptualizations of resilience and posttraumatic growth · Practices of meaning-making interventions: A comprehensive matrix · Working with meaning in life in chronic or life-threatening disease · Strategies for cultivating purpose among adolescents in clinical settings · Integrative meaning therapy: From logotherapy to existential positive interventions · Multiculturalism and meaning in existential and positive psychology · Nostalgia as an existential intervention: Using the past to secure meaning in the present and the future · The spiritual dimension of meaning Clinical Perspectives on Meaning redefines these core healing objectives for researchers, students, caregivers, and practitioners from the fields of existential psychology, logotherapy, and positive psychology, as well as for the interested public. .']",,,,left_only
Alexandr I. Korotkin,"['Korotkin, Alexandr I.author.authttp://id.loc.gov/vocabulary/relators/aut']",['Added Masses of Ship Structures [electronic resource] /'],[nan],[nan],['eng'],['Offshore Engineering.'],"['Knowledge of added body masses that interact with fluid is necessary in various research and applied tasks of hydro- and aeromechanics: steady and unsteady motion of rigid bodies, total vibration of bodies in fluid, local vibration of the external plating of different structures. This reference book contains data on added masses of ships and various ship and marine engineering structures. Also theoretical and experimental methods for determining added masses of these objects are described. A major part of the material is presented in the format of final formulas and plots which are ready for practical use. The book summarises all key material that was published in both in Russian and English-language literature. This volume is intended for technical specialists of shipbuilding and related industries. The author is one of the leading Russian experts in the area of ship hydrodynamics.']",,,,left_only
Alfred Allinson,"['Allinson, Alfred.']",['The novels of Alexandre Dumas /'],[1907.0],"['London,']",['eng'],[nan],"[""Acte. The adventures of Captain Pamphile, &c. Amaury. The black tulip. The Castle of Eppstein. Catherine Blum. Cecile. The Chevalier d'Harmental. Conscience. The convict's son, &c. The Corsican brothers & Otho the Archer. Crop-eared Jacquot, &c. Duke of Savoy's page. Pt. 1. Duke of Savoy's page. Pt. 2. The fencing master, &c. Fernande. The forty-five guardsmen. Pt. 1. The forty-five guardsmen. Pt. 2, 3. Gabriel Lambert, &c. Georges, &c. God's will. Pt. 2. Henri de Navarre. (Pt. 2 of Queen Margot.) The horoscope. The Lady of Monsoreau. Pt. 1. The Lady of Monsoreau. Pt. 2. The Lady of Monsoreau. Pt. 3. Maitre Adam, The dove, &c. The mouth of hell. Nanon. Olympia. Pauline, Pascal Bruno & Bontekoe. The Prince of Thieves. Queen Margot. Pt. 1. The regent's daughter. Pt. 1. The regent's daughter. Pt. 2. The reminiscences of Antony; & Marianna. Robin Hood the Outlaw. The snowball and sultanetta. Sylvandire. Tales of the supernatural. Two Dianas. Pt. 1, 2. Two Dianas. Pt. 3. The Vicomte de Bragelonne. 2 pt. The wild-duck shooter.""]",,,,left_only
Alfred Thomas,"['Thomas, Alfred.author.authttp://id.loc.gov/vocabulary/relators/aut']","['Shakespeare, Catholicism, and the Middle Ages [electronic resource] : Maimed Rights /']",[nan],[nan],['eng'],['Literary History.'],"['Whereas traditional scholarship assumed that William Shakespeare used the medieval past as a negative foil to legitimate the present, Shakespeare, Catholicism, and the Middle Ages offers a revisionist perspective, arguing that the playwright valorizes the Middle Ages in order to critique the oppressive nature of the Tudor-Stuart state. In examining Shakespeare’s Richard II, The Merchant of Venice, Hamlet, King Lear, Macbeth, and The Winter’s Tale, the text explores how Shakespeare repossessed the medieval past to articulate political and religious dissent. By comparing these and other plays by Shakespeare’s contemporaries with their medieval analogues, Alfred Thomas argues that Shakespeare was an ecumenical writer concerned with promoting tolerance in a highly intolerant and partisan age. .']",,,,left_only
Ali A. Allawi,"['Allawi, Ali A.,1947-']","['The occupation of Iraq : winning the war, losing the peace /']",[2007.0],"['New Haven [Conn.] ; London : Yale University Press,']",['eng'],"['Iraq War, 2003-']","[""Preface -- Introduction -- The great divides -- The rise of the oppostion -- The build-up to war -- The invasion -- Occupation authorities -- A collapsed state : a ruined economy : a damaged society--  Deepening the rifts in a British society  -- Dismantling the Ba'athist state -- The formation of the governing council and the rise of the insurgency -- The shadow of real power -- The enigma of Ayatollah Sistani --  A constitution in waiting -- The fires of sectarian hatreds -- A Marshall Plan for Iraq -- April 2004 : the turning point -- The interim Iraqi government -- Arabs and Persians -- Showdown at the shrine -- To hold or abort an election -- Corruption and the potemkin state -- Iraqi society on the eve of free elections -- The vote -- Negotiating a constitution  -- Crisis and the Jaafari government --Into uncharted waters.""]",,,,left_only
Alice Chapman,"['Chapman, Alice.']",['Sacred authority and temporal power in the writings of Bernard of Clairvaux /'],[nan],[nan],['eng'],['Temporal power of religious rulers.'],['Includes bibliographical references and index.'],,,,left_only
Alice Rio,"['Rio, Alice.']","['Legal practice and the written word in the early middle ages : Frankish formulae, c. 500-1000 /']",[2009.0],"['Cambridge ; New York : Cambridge University Press,']",['eng'],"['Law, Frankish']","['Orality and literacy in Frankish society -- An uneasy partnership? : formulae and charters -- Defining the corpus -- Catalogue of the collections -- Dating formulae -- Local context and diffusion -- From late antique notaries to ecclesiastical scribes : when, where and why formularies survive -- Formulae and written law -- A methodological test-case : slavery and unfreedom in the formularies.']",,,,left_only
Aligarh Historians Society,['Aligarh Historians Society.'],['Studies in people’s history.'],[nan],[nan],['eng'],['Social history'],"[""Title from journal home page (publisher's Web site, viewed July 22, 2014).""]",,,,left_only
Alison Thompson,"['Thompson, Alison']",['Are you the lady from the welfare? : memoirs of a local authority social worker /'],[2009.0],"['Brighton : Pen Press,']",['eng'],['Social workers'],[nan],,,,left_only
Alison Klein,"['Klein, Alison.author.authttp://id.loc.gov/vocabulary/relators/aut']",['Anglophone Literature of Caribbean Indenture [electronic resource] : The Seductive Hierarchies of Empire /'],[nan],[nan],['eng'],['Asian Literature.'],"['This book is the first comprehensive study of Anglophone literature depicting the British Imperial system of indentured labor in the Caribbean. Through an examination of intimate relationships within indenture narratives, this text traces the seductive hierarchies of empire – the oppressive ideologies of gender, ethnicity, and class that developed under imperialism and indenture and that continue to impact the Caribbean today. It demonstrates that British colonizers, Indian and Chinese laborers, and formerly enslaved Africans negotiated struggles for political and economic power through the performance of masculinity and the control of migrant women, and that even those authors who critique empire often reinforce patriarchy as they do so. Further, it identifies a common thread within the work of those authors who resist the hierarchies of empire: a poetics of kinship, or, a focus on the importance of building familial ties across generations and across classifications of people.']",,,,left_only
Alisoncelebrity and royal journalist James,"['James, Alison,celebrity and royal journalist,author.']",['Royal babies : a heir-raising history /'],[nan],[nan],['eng'],['Families.'],[nan],,,,left_only
Alix Mazuet,"['Mazuet, Alix,1960-']",['Imaginary spaces of power in Sub-Saharan literatures and films /'],[2012.0],"['Newcastle upon Tyne : Cambridge Scholars Pub.,']",['eng'],['Clothing and dress'],['Includes bibliographical references and index.'],,,,left_only
Allan Rjoint author Menzies,"['Menzies, Allan R.joint author.']",['Attacking judo: integrated movement patterns;'],[1968.0],"['London: Pelham,']",['eng'],['Judo.'],[nan],,,,left_only
Allen Wier,"['Wier, Allen,1946-']",['Tehano : a novel /'],[2006.0],"['Dallas, Tex. : Southern Methodist University Press,']",['eng'],[nan],[nan],,,,left_only
Allison Dowse,"['Dowse, Allison.', 'Dowse, Allison.', 'Dowse, Allison.', 'Dowse, Allison.', 'Dowse, Allison.', 'Dowse, Allison.']","['Up, up and away : Leeds /', 'Small talk.', 'Hullabaloo! Norfolk /', 'The wonder years /', '2001 : a poetry odyssey.', 'Spine-chillers : a collection of spooky stories /']","[2000.0, 2006.0, 2003.0, 2002.0, 2001.0, 2004.0]","['Peterborough : Young Writers,', 'Peterborough : Young Writers,', 'Peterborough : Young Writers,', 'Peterborough : Young Writers,', 'Peterborough : Young Writers,', 'Peterborough : Young Writers,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, 'School prose, English', 'School verse, English', nan, nan, ""Children's stories, English.""]","[nan, '""Young Writers 2006 creative writing competition for primary schools.""', nan, nan, nan, nan]",,,,left_only
